,Parent Category,Category,INDC Sector,INDC technology,Unconditional Target,Technology Needs,More information on INDC technology,TNA / TAP technology prioritised,More information of on TNA / TAP Technology,Actions / project ideas,Country,Valid?
1739,ADAPTATION,Cross-sectoral Enablers and Approaches,Gender,GENDER MAINSTREAMING,"Promote gender mainstreaming in policies, programmes and projects",0,capacity and fiancial requirements,0,0,0,Lesotho,1
1740,ADAPTATION,Cross-sectoral Enablers and Approaches,Economics and financial decisionmaking,UNDEFINED,0,Support and implement programmes for alternative livelihoods in order to reduce unsustainable resource use that contributes to loss of biodiversity,0,0,0,0,Lesotho,1
1741,ADAPTATION,Cross-sectoral Enablers and Approaches,Undefined,UNDEFINED,Strengthen and stabilize ecotourism based rural livelihoods; Increase the preparedness of tourism and recreation operation to extreme weather conditions.,0,0,0,0,0,Lesotho,1
1742,ADAPTATION,Cross-sectoral Enablers and Approaches,Capacity Building and Training,CAPACITY BUILDING AND TRAINING,Train heritage professionals to plan for climate change,climate change adaptation research and capacity building in the tourism-recreation sector,0,0,0,0,Lesotho,1
1743,ADAPTATION,Human Health,Vector-borne diseases,VECTOR-BORNE DISEASE PREVENTION,0,"Build capacity to diagnose, prevent and control climate-sensitive diseases such as diarrheal diseases and malnutrition",0,0,0,0,Lesotho,1
1744,ADAPTATION,Human Health,Public health services,EDUCATION OF HEALTH PERSONNEL,"Enhance public awareness about water, sanitation and hygiene practice and enhance health surveillance",0,0,0,0,0,Lesotho,1
1745,ADAPTATION,Human Health,Public health services,UNDEFINED,0,Construct more health centres in order to improve access to health facilities within a walking distance of 8 km,0,0,0,0,Lesotho,1
1746,ADAPTATION,Human Health,Advanced IT systems in the health sector,DISEASE SURVEILLANCE SYSTEMS,0,Support expanded programme for preventing and controlling climate-sensitive diseases,0,0,0,0,Lesotho,1
1747,ADAPTATION,Human Health,Undefined,UNDEFINED,0,Support the establishment of centre of excellence for research and disease control targeting climate-sensitive diseases,0,0,0,0,Lesotho,1
1748,ADAPTATION,Infrastructure and Urban planning,Building codes,BUILDING CODES,0,Develop and implement climate related building codes/standards,0,0,0,0,Lesotho,1
1749,ADAPTATION,Infrastructure and Urban planning,Building design and standards,GREEN STANDARDS,0,Revise existing building standards in line with climate change,0,0,0,0,Lesotho,1
1750,ADAPTATION,Infrastructure and Urban planning,Land use in human settlements,LAND USE IN HUMAN SETTLEMENTS,Promote improved land use practices,Integrated apporach to Sustainable Land Use Planning and Management,0,0,0,0,Lesotho,1
1751,ADAPTATION,Forestry,Forest management for mitigation,FOREST PROTECTION AND CONSERVATION,0,Preserve natural forest cover to maintain biodiversity and ecosystems,0,0,0,0,Lesotho,1
1752,MITIGATION,Transport,Undefined,UNDEFINED,0,Developing technical and safety standards in transportat sector.,0,0,0,0,Liberia,1
1753,MITIGATION,Transport,Land transport,MODAL SHIFT FROM PRIVATE TO PUBLIC TRANSPORTATION,0,Improve public transportation services.,0,0,0,0,Liberia,1
1754,MITIGATION,Transport,Vehicle and fuel technologies,VEHICLE EMISSION STANDARDS,0,Increased enforecement of emission control policies.,0,0,0,0,Liberia,1
1755,MITIGATION,Transport,Vehicle and fuel technologies,VEHICLE EMISSION TESTING,0,Develop means to track emissions reductions from vehicles.,0,0,0,0,Liberia,1
1756,MITIGATION,Energy efficiency,Appliances and equipment,IMPROVED COOK STOVES,0,"Distribute energy saving cook stoves (280,543 that use fuel wood and 308,004 that use charcoal).",0,4 in Energy Sector,"Efficient cook stoves are being promoted for cleaner combustion and co-benefits. However, the technology has higher prices which is a barrier.",0,Liberia,1
1757,MITIGATION,Renewable energy,Renewable energy infrastructure,UNDEFINED,0,Strengthen institutional capacity in RE technology and management.,0,0,0,0,Liberia,1
1758,MITIGATION,Renewable energy,Hydro,LARGE-SCALE HYDROPOWER,0,Restore operations in existing hyodropower plants and construct new hydropower plants.,Hydropower plants were damaged during the country's civil war.,0,0,0,Liberia,1
1759,MITIGATION,Renewable energy,Bioenergy,BIOMASS POWER,0,Implement large scale biomass project with 30 MW power output by 2030.,0,0,0,0,Liberia,1
1760,MITIGATION,Renewable energy,Bioenergy,BIODIESEL,0,Blend 5% palm oil in both gasoline and diesel for vehicles.,0,8 in Energy Sector,Produce biodiesel for blending with fossil fuel based diesel.,0,Liberia,1
1761,MITIGATION,Renewable energy,Solar,SOLAR LAMPS,0,0,0,7 in Energy Sector,Solar lanterns can be charged with household solar PV systems and provide source of light when needed.,0,Liberia,1
1762,MITIGATION,Renewable energy,Solar,SOLAR PV,0,0,0,"1 in Energy Sector
 2 in Energy Sector","Solar PV systems for homes (10-100 Wp capacity, including battery, charge controller, wiring, LED light bulbs, and outlets for DC appliances. This technology is preferred as it allows off-grid and remote regions to get electricity.
 Grid-scale solar PV (system capacity 1000 kW).",0,Liberia,1
1763,MITIGATION,Renewable energy,Solar,SOLAR DRYER,0,0,0,5 in Energy Sector,Use of solar dryer for storage of products for longer time periods.,"Using solar dryers to dry cereals like maize, wheat and rice after harvesting.",Liberia,1
1764,MITIGATION,Renewable energy,Hydro,SMALL-SCALE HYDROPOWER,0,0,0,3 in Energy Sector,"Small-scale hydropower technology consists of mini, micro, pico hydropower plants.",0,Liberia,1
1765,MITIGATION,Renewable energy,Bioenergy,BIODIGESTER,0,0,0,9 in Energy Sector,Use of biogas digesters for providing electricity.,0,Liberia,1
1766,MITIGATION,Renewable energy,Bioenergy,BIOMASS BRIQUETTES OR PELLETS,0,0,0,6 in Energy Sector,Use briquettes as alternate for charcoal and other fuel commodities.,0,Liberia,1
1767,MITIGATION,Waste Management,Solid waste,LANDFILL GAS POWER,0,"Capturing methane gas emitted from landfills for downstream use as fuel, cooking fuel, and power source.",0,10 in Energy Sector,Use of landfill gases as energy source.,0,Liberia,1
1768,MITIGATION,Forestry,Forest management for mitigation,FOREST PROTECTION AND CONSERVATION,0,"Increase forest conservation awareness in local populations and enable them to participate in local conservation.
 Forest conservation and protection of biodiversity rich forest zones.",0,0,0,0,Liberia,1
1769,MITIGATION,Forestry,Forest management for mitigation,REFORESTATION,0,"Reforestation of degraded lands, increase land area of forests.",0,0,0,0,Liberia,1
1770,ADAPTATION,Early Warning and Environmental Assesment,Hazard mapping,FLOOD HAZARD MAPPING,0,Strengthen early warning systems for floods and intense rain events.,0,0,0,0,Liberia,1
1771,ADAPTATION,Early Warning and Environmental Assesment,Early warning systems & forecasting,FLOOD FORECASTING SYSTEMS,0,0,0,2 in Coastal Zones,"Flood warning systems (FWS): collects data, alerts people in case of coastal flooding -> thereby reducing damage, helps protect lives and properties.",0,Liberia,1
1772,ADAPTATION,Agriculture and Forestry,"Agro-forestry, Silviculture & Mixed farming",AGROFORESTRY,0,Diversification of agroforestry.,0,0,0,0,Liberia,1
1773,ADAPTATION,Agriculture and Forestry,"Seed, grain & food storage",CROP STORAGE,0,Create a gene bank of climate resilient varities of indigenous food crops.,0,2 in Agricultural Sector,Improved drying and freezing of agricultural products.,0,Liberia,1
1774,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,PEST AND INSECT CONTROL,0,"Pest control in agriculture using fencing, scarecrows, regular weeding, use of high echoing bells.",0,6 in Agriculture Sector,"Ecological Pest Management, curtail losses of crops during dry season and help save crops and money for farmers.",0,Liberia,1
1775,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,CROP DIVERSIFICATION AND NEW VARIETIES,0,"Develop and introduce new varieties of crops that are drought resistant, flood tolerant, and early maturing. Make crops climate resilient.",0,4 in Agriculture Sector,"Diversification can reduce pests in crops, enable natural predators to live closer to crops, and protect crops from temperature and rainfall variations.",0,Liberia,1
1776,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,DROUGHT-RESISTANT CROPS,0,Develop and promote drought resistant crops.,0,0,0,0,Liberia,1
1777,ADAPTATION,Agriculture and Forestry,Livestock management,CLIMATE TOLERANT LIVESTOCK,0,Diversify livestock to make them climate resilient.,0,0,0,0,Liberia,1
1778,ADAPTATION,Agriculture and Forestry,Terrestrial ecosystems management,WETLAND RESTORATION AND REHABILITATION,0,0,0,7 in Coastal Zones,Coastal wetland management and restoration,0,Liberia,1
1779,ADAPTATION,Agriculture and Forestry,"Agro-forestry, Silviculture & Mixed farming",GENERAL AGRO-FORESTRY - SILVICULTURE AND MIXED FARMING SOLUTIONS,0,0,0,7 in Agriculture Sector,Mixed farming solutions,0,Liberia,1
1780,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,SOIL REMEDIATION TECHNIQUES,0,0,0,3 in Agriculture Sector,Integrated Soil Fertility Management techniques to improve soil quality of existing stock. Traditionally Liberian farmers practice slash and burn.,0,Liberia,1
1781,ADAPTATION,Agriculture and Forestry,Land management training,COMMUNITY-BASED AGRICULTURAL EXTENSION,0,0,0,1 in Agricultural Sector,Provide farmers means to add value to their agricultural products. This is a new technology in Liberia.,0,Liberia,1
1782,ADAPTATION,Water,Riverine flood protection,FLOOD DISASTER PREPAREDNESS PLANS,0,Strengthen evacuation planning in the event of intense rainfall and floods.,0,0,0,0,Liberia,1
1783,ADAPTATION,Water,Riverine flood protection,ACCOMMODATION FOR FLOODING,0,"Protecting electricity transmission and distribution infrastructure from impacts of climate change (such as flooding)
 Maintain and upgrade roadways with adequet drainage systems to cope with flooding.",0,0,0,0,Liberia,1
1784,ADAPTATION,Water,Water conservation,WATER RESERVOIRS,0,Protecting water cachements around hydropower plants.,0,0,0,Example project: St. Paul River Basin,Liberia,1
1785,ADAPTATION,Water,Water efficiency and demand management,IMPROVED IRRIGATION EFFICIENCY,0,0,0,5 in Agriculture Sector,"Supply side irrigation technologies: means of providing irrigation supply at lower water pressure, and improving irrigation supply efficiency.",0,Liberia,1
1786,ADAPTATION,Water,Water efficiency and demand management,SPRINKLER IRRIGATION,0,0,0,5 in Agriculture Sector,Sprinkler irrigation technology.,0,Liberia,1
1787,ADAPTATION,Human Health,Emergency medical services,EMERGENCY MEDICAL SERVICES,0,"Strengthen emergency medical response system to prevent, mitigate, and respond to epidemics.",0,0,0,0,Liberia,1
1788,ADAPTATION,Human Health,Advanced IT systems in the health sector,DISEASE SURVEILLANCE SYSTEMS,0,"Strengthen disease surveillance and response systems.
 Develop early warning system to monitor and provide alerts on climate change-driven infectious diseases.",0,0,0,0,Liberia,1
1789,ADAPTATION,Infrastructure and Urban planning,Undefined,UNDEFINED,0,Establish waste management infrastructure.,0,0,0,0,Liberia,1
1790,ADAPTATION,Infrastructure and Urban planning,Resilient transport systems,UNDEFINED,0,Improving the quality and reliability of transportation related infrastructure and services.,0,0,0,0,Liberia,1
1791,ADAPTATION,Infrastructure and Urban planning,Resilient transport systems,RESILIENT ROAD SYSTEMS,0,"Implement design standards in roadway design to increase resilience and protect from floods, windstorms.
 Add clearly visible signage in roadways to protect motorists from unsafe driving zones and low-lying areas during floods.",0,0,0,0,Liberia,1
1792,ADAPTATION,Coastal Zones,Undefined,UNDEFINED,0,"Develop coastal zone policies, strategy, and management plan.",0,0,0,0,Liberia,1
1793,ADAPTATION,Coastal Zones,Integrated coastal zone management,UNDEFINED,0,Technology transfer and training of institutional and local experts in coastal management and monitoring.,0,0,0,0,Liberia,1
1794,ADAPTATION,Coastal Zones,Protection (hard engineering),SEA WALLS,0,Construct sea walls or revetments,0,5 in Coastal Zones,Sea walls,0,Liberia,1
1795,ADAPTATION,Coastal Zones,Protection (soft engineering),MANGROVE CONSERVATION AND REHABILITATION,0,Coastal mangrove conservation and management.,0,8 in Coastal Zones,Restoration of mangroves.,0,Liberia,1
1796,ADAPTATION,Coastal Zones,Integrated coastal zone management,UNDEFINED,0,0,0,1 in Coastal Zones,Promote sustainable management of coastal zones; reduces ecosystem degradation; involve local communities in decisions; reduce coastal vulnerabilities and risks.,0,Liberia,1
1797,ADAPTATION,Coastal Zones,Integrated coastal zone management,ECOSYSTEM RESTORATION AND CONSERVATION PLANS,0,0,0,"7 in Coastal Zones
 8 in Coastal Zones","Coastal wetlands protection and restoration
 Restoration of coastal vegetables (coconut trees, almond trees)",0,Liberia,1
1798,ADAPTATION,Coastal Zones,Protection (hard engineering),GROYNES,0,0,0,4 in Coastal Zones,Trap sediment and encourage beach stabilization.,0,Liberia,1
1799,ADAPTATION,Coastal Zones,Protection (hard engineering),REVETMENTS,0,0,0,3 in Coastal Zones,"Rock/armor revetments: hard engineering solution to protect against erosion by wave action, can have widespread adaptability in Liberia due to availability of ideal rock quaries.",0,Liberia,1
1800,ADAPTATION,Coastal Zones,Protection (soft engineering),BEACH NOURISHMENT,0,0,0,6 in Coastal Zones,"Transform eroding beaches into dissipative beaches, and address sediment deficit issue.",0,Liberia,1
1801,ADAPTATION,Marine and Fisheries,Fisheries management,SUSTAINABLE FISHING,0,"Develop and implement climate smart fishery systems to make fishing communities more adaptive and resilient.
 Identification and conservation of endangered fish species.",0,0,0,0,Liberia,1
1802,ADAPTATION,Coss-sectoral Enablers and Approaches,Economics and financial decisionmaking,CLIMATE FINANCING,0,"Implement and strengthen policies that promote private investments in renewable energy, and waste management.","Renewable energy technologies include solar, hydro, biomass).",0,0,0,Liberia,1
1803,ADAPTATION,Coss-sectoral Enablers and Approaches,Communication and Awareness,KNOWLEDGE MANAGEMENT SYSTEMS,0,Create a platform for hosting knowledge and sharing experiences with agricultural adaptation practices.,0,0,0,0,Liberia,1
1804,ADAPTATION,Coss-sectoral Enablers and Approaches,Capacity Building and Training,CAPACITY BUILDING AND TRAINING,0,"Energy:
 Strengthen institutional and individual capacity in RE technology and management.
 Improve coordination between country's development goals and low carbon economy goals.
 Waste:
 Strengthen individual and institutional capacity for waste management.
 Transport:
 strengthen institutional capacity for developing integrated transportation services. Integrate climate change awareness in transprtation management plans to strengthen emisisons control.
 Health:
 Integrate climate change considerations into health policies while accounting for gender differentiated impacts and responses.
 Fisheries:
 Strengthen local capacity of fishing communities as well as monitoring systems for fishery management.",0,0,0,0,Liberia,1
1805,MITIGATION,Renewable Energy,Renewable Energy Infrastructure,HYBRID RENEWABLE ENERGY SYSTEMS *,0,0,"Facilitate access to energy by strengthening existing systems and by promoting renewable and alternative energies, Reinforce renewable energy (hydraulic and solar) from the current level of 35% to 79%);",0,0,0,Madagascar,1
1806,MITIGATION,Industry,Conventional power plant efficiency,POWER PLANT REHABILITATION,0,0,Rehabilitate energy producing network and plant stations,0,0,0,Madagascar,1
1807,MITIGATION,Renewable Energy,Solar,SOLAR PV,0,0,0,0,0,0,Madagascar,1
1808,MITIGATION,Energy efficiency,Energy distribution,CONNECTION OF ISOLATED GRID,0,0,Rural Electrification,0,0,0,Madagascar,1
1809,MITIGATION,Energy efficiency,Appliances and equipment,IMPROVED COOK STOVES,0,0,Disseminate improved stoves (by 2030: 50% of households adopting improved stoves).,5. Improved wood-burning stove,0,0,Madagascar,1
1810,MITIGATION,Energy efficiency,Energy storage,PUMPED HYDROELECTRIC ENERGY STORAGE,0,0,0,1. Hydroelectricity,0,0,Madagascar,1
1811,MITIGATION,Renewable Energy,Bioenergy,ETHANOL FUEL,0,0,0,2. Ethanol Cooking Stove,0,0,Madagascar,1
1812,MITIGATION,Renewable Energy,Bioenergy,BIOMASS POWER,0,0,0,4. Biomass Combustion,0,0,Madagascar,1
1813,MITIGATION,Agriculture,Cropland,RICE CULTIVATION,0,0,Large scale dissemination of intensive/improved rice farming techniques (SRI/SRA),0,0,0,Madagascar,1
1814,MITIGATION,Agriculture,0,CONSERVATION TILLAGE,0,0,Large scale implementation of conservation agriculture and climate-smart agriculture;,0,0,0,Madagascar,1
1815,MITIGATION,Forestry,Forest management for mitigation,REFORESTATION,0,0,Large scale reforestation for sustainable timber production and indigenous species for conservation,0,0,0,Madagascar,1
1816,MITIGATION,Renewable Energy,Bioenergy,BIOGAS POWER,0,0,Biogas production from waste water,0,0,0,Madagascar,1
1817,MITIGATION,Waste Management,Resource efficiency,WASTE PREVENTION,0,0,Sustainable management (compost) of organic household waste (50% of waste treated in urban agglomerations).,0,0,0,Madagascar,1
1818,MITIGATION,Industry,Construction,CLINKER REPLACEMENT,0,0,0,"1. Reduction of the Clinker / Cement Ratio by Adding Fly Ash, 5. Reduction of the Clincker / Cement ratio (PZ) by addition of Pozzolan",0,0,Madagascar,1
1819,MITIGATION,Industry,Manufacturing industry,BIOPLASTICS,0,0,0,2. Bioplastics,0,0,Madagascar,1
1820,MITIGATION,Waste Management,Solid Waste,INDUSTRIAL SOLID WASTE,0,0,0,3. Recovery of industrial waste (sawdust),0,0,Madagascar,1
1822,MITIGATION,Carbon Fixation and Abatement,Carbon Capture and Storage,CO2 STORAGE TECHNOLOGIES,0,0,0,6. CO2 Capture and Storage,0,0,Madagascar,1
1823,MITIGATION,Carbon Fixation and Abatement,Carbon Capture and Storage,CO2 CAPTURE TECHNOLOGIES *,0,0,0,0,0,0,Madagascar,1
1824,MITIGATION,Industry,Mining & Production,IMPROVED EFFICIENCY IN MINING AND RESOURCE EXTRACTION,0,0,0,7. Elimination of Mercury Emissions from Artisinal Gold Mining Operations,0,0,Madagascar,1
1825,ADAPTATION ,Early Warning and Environmental Assesment,Early warning systems & forecasting,EARLY WARNING SYSTEMS COMMUNICATION,0,(only actions to be undertaken between 2020 and 2030 on the NDC are listed here),Real-time monitoring of climate information,0,0,0,Madagascar,1
1826,ADAPTATION ,Early Warning and Environmental Assesment,Monitoring Systems,ECOSYSTEM MONITORING,0,0,Forest and grassland forests enhanced monitoring,0,0,0,Madagascar,1
1827,ADAPTATION ,Agriculture and Forestry,Livestock management,MANURE MANAGEMENT,0,0,0,2. Manure Recycling ,0,0,Madagascar,1
1828,ADAPTATION ,Agriculture and Forestry,"Agro-forestry, Silviculture & Mixed farming",AGROFORESTRY,0,0,Large scale adoption of agroforestry,3. Agroforestry (interlocking / food crops in terrace),0,0,Madagascar,1
1829,ADAPTATION ,Water,Water efficiency and demand management,MULTI-PURPOSE DAMS,0,0,0,"4. Small Earth Dams, 6. Creation or rehabilitation of a traditional diversion",0,0,Madagascar,1
1830,ADAPTATION ,Water,0,DRIP IRRIGATION,0,0,0,5. Drip Irrigation,0,0,Madagascar,1
1831,ADAPTATION ,Agriculture and Forestry,Increasing crop resilience and productivity,IMPROVED CULTIVATION TECHNIQUES,0,0,"Dissemination of arboriculture (from 2018: 5,000 ha per year).",0,0,0,Madagascar,1
1832,ADAPTATION ,Agriculture and Forestry,Forest management for adaptation,INDIGENOUS AND MULTIPURPOSE TREES,0,0,0,0,0,0,Madagascar,1
1833,ADAPTATION ,Agriculture and Forestry,Forest management for adaptation,REDUCED IMPACT LOGGING,0,0,Reduction of forest timber extraction,0,0,0,Madagascar,1
1834,ADAPTATION ,Water,Integrated planning,INTEGRATED WATER RESOURCES MANAGEMENT,0,0,"Sustainable and integrated water resources management, particularly in sub-arid areas and those vulnerable to drought periods;","1. IWRM Integrated Water Resource Management, 2. AEPG Drinking Water Supply Gravity",0,0,Madagascar,1
1840,ADAPTATION ,Coastal Zones,Integrated coastal zone management,ECOSYSTEM RESTORATION AND CONSERVATION PLANS,0,0,"Restoration of natural habitats (forests and mangroves: 45,000 ha; lakes, streams, etc.)",0,0,0,Madagascar,1
1841,ADAPTATION,Water,Integrated Planning,INTEGRATED WATER RESOURCES MANAGEMENT,0,Integrated Water Resource Management,Efficient water management,0,0,0,Malaysia,1
1842,ADAPTATION,Water,Integrated planning,GROUNDWATER EXTRACTION AND MONITORING,0,Increase diversification and exploration of alternative water sources,"Urban scale rainwater harvesting system, groundwater, recycled and reclaimed water for conjunctive use. Prioritisation of water demand management to reduce stress on water supply",0,0,0,Malaysia,1
1843,ADAPTATION,Water,Water allocation,BASIN LEVEL MODELLING FOR WATER ALLOCATION,0,Integrated River Basin Management,Efficient water management,0,0,0,Malaysia,1
1844,ADAPTATION,Water,Riverine flood protection,FLOOD DISASTER PREPAREDNESS PLANS,0,Integrated Flood management,Efficient water management,0,0,0,Malaysia,1
1845,ADAPTATION,Water,Urban storm water management,RUNOFF CONTROL STRUCTURES TO TEMPORARILY STORE RAINFALL,0,Increase water supply reserve margin ,non-revenue water and implementation of the off-river storage structural forms,0,0,0,Malaysia,1
1846,ADAPTATION,Water,Water augmentation (increasing capture and storage of surface runoff),RAINWATER HARVESTING,0,Increase diversification and exploration of alternative water sources,"Urban scale rainwater harvesting system, groundwater, recycled and reclaimed water for conjunctive use. Prioritisation of water demand management to reduce stress on water supply",0,0,0,Malaysia,1
1847,ADAPTATION,Water,Limiting nutrient leakage,RIPARIAN BUFFERS,0,0,"Expand protected areas, including fisheries zones within the marine and coastal protection corridors, increasing riparian areas management units, reserving larger buffer areas wround wetlands",0,0,0,Malaysia,1
1848,ADAPTATION,Water,Alternative water sources,WATER RECYCLING AND RECLAMATION,0,Increase diversification and exploration of alternative water sources,"Urban scale rainwater harvesting system, groundwater, recycled and reclaimed water for conjunctive use. Prioritisation of water demand management to reduce stress on water supply",0,0,0,Malaysia,1
1849,ADAPTATION,Agriculture and Forestry,Forest management for adaptation,FORESTED CATCHMENTS PROTECTION,0,Forest water catchments; Increase forest catchment capacity,Ensure secure and adequate and safe water supply; Accommodate expected increase of runoff volume due to flooding,0,0,0,Malaysia,1
1850,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,PEST AND INSECT CONTROL,0,Strategic pest and disease control management,0,0,0,0,Malaysia,1
1851,ADAPTATION,Agriculture and Forestry,Increasing crop resilience and productivity,CROP DIVERSIFICATION AND NEW VARIETIES,0,Research to increase climate-tolerant species and varieties,0,0,0,0,Malaysia,1
1852,ADAPTATION,Agriculture and Forestry,Inceasing crop resilience and productivity,IMPROVED CULTIVATION TECHNIQUES,0,Conservation of more major granary areas,Promotion of smart farming technologies and implementation of diversification and integrated management,0,0,0,Malaysia,1
1853,ADAPTATION,Early Warning and Environmental Assessment,Hazard mapping,VULNERABILITY ASSESSMENT TOOLS,0,Coastal Vulnerability Index,Mapping out vulnerability assessment of different socio-economic segments,0,0,0,Malaysia,1
1854,ADAPTATION,Early Warning and Environmental Assessment,Hazard mapping,FLOOD HAZARD MAPPING,0,Minimize flood impacts; Coastal flood risk assessment for agricultural lands,Flood risk assessment and protection projects,0,0,0,Malaysia,1
1855,ADAPTATION,Early Warning and Environmental Assessment,Hazard mapping,SEASONAL TO INTERANNUAL WEATHER FORECAST,0,Weather forecasts; Weather-flood forecasting and early warning system,incorporated in risk maps of climate-sensitive disease; Based on future climate conditions,0,0,0,Malaysia,1
1856,ADAPTATION,Early Warning and Environmental Assessment,Early warning systems & forecasting,FLOOD FORECASTING SYSTEMS,0,Weather-flood forecasting and early warning system,Based on future climate conditions,0,0,0,Malaysia,1
1857,ADAPTATION,Coastal Zones,Protection (hard engineering),STORM SURGE BARRIERS AND CLOSURE DAMS,0,Storm surge projections integrated shoreline management plan,0,0,0,0,Malaysia,1
1858,ADAPTATION,Coastal Zones,Protection (hard engineering),COASTAL INFRASTRUCTURE REHABILITATION,0,Coastal resilience,Rehabilitation and protection programs utilizing nature-based solutions and green-gray infrastructure,0,0,0,Malaysia,1
1859,ADAPTATION,Coastal Zones,Protection (soft engineering),CONSTRUCTED WETLANDS,0,Constructed wetlands and wastewater treatments,"Sustainable, efficient, effective waste and wastewater infrastructures, categorized as water catchments",0,0,0,Malaysia,1
1860,ADAPTATION,Coastal Zones,Integrated coastal zone management,ECOSYSTEM RESTORATION AND CONSERVATION PLANS,0,Preservation of vulnerable ecosystems,"Expand protected areas, including fisheries zones within the marine and coastal protection corridors, increasing riparian areas management units, reserving larger buffer areas wround wetlands",0,0,0,Malaysia,1
1861,ADAPTATION,Infrastructure and Urban planning,Building design and material,DISASTER-RESILIENT BUILDINGS,0,Climate resilience in infrastructure,Emphasize infrastructure integrity assessments and revisions of the existing manuals and guidelines,0,0,0,Malaysia,1
1862,ADAPTATION,Infrastructure and Urban planning,Building design and material,UNDEFINED,0,Nature-based infrastructure design,Green city concept,0,0,0,Malaysia,1
1863,ADAPTATION,Human Health,Public health services,UNDEFINED,0,Public health management ,Evidence-based decision making between climate change and health,0,0,0,Malaysia,1
1864,ADAPTATION,Human Health,Advanced IT systems in the health sector,DISEASE SURVEILLANCE SYSTEMS,0,Surveillance and early warning for disease impacts,For preparedness,0,0,0,Malaysia,1
1865,ADAPTATION,Cross-sectoral Enablers and Approaches,Capacity Building and Training,CAPACITY BUILDING AND TRAINING,0,Adaptive capacity,Critical healthcare facilities,0,0,0,Malaysia,1
1866,ADAPTATION,Cross-sectoral Enablers and Approaches,Disaster risk reduction,DISASTER RISK REDUCTION,0,Reduce disaster risks and loss and damages,"Inclusive and mainstream gender, you and vulnerable groups in adaptation and disaster risk reduction programs. ",0,0,0,Malaysia,1
1867,ADAPTATION,Cross-sectoral Enablers and Approaches,Gender,GENDER MAINSTREAMING,0,0,"Inclusive and mainstream gender, you and vulnerable groups in adaptation and disaster risk reduction programs. ",0,0,0,Malaysia,1
1868,MITIGATION,Renewable Energy,Bioenergy,BIOGAS POWER,0,0,0,Biomass Gasification - 3,0,0,Malawi,1
1869,MITIGATION,Renewable Energy,Hydro,LARGE-SCALE HYDROPOWER,0,0,0,Lake Malawi hydrokinetic electric power - 4,0,0,Malawi,1
1870,MITIGATION,Renewable Energy,Solar,SOLAR PV,0,0,0,Solar PV technology - 5,0,0,Malawi,1
1871,MITIGATION,Renewable Energy,Bioenergy,CHARCOAL PRODUCTION FOR COOKING AND HEATING,0,0,0,Improved charcoal production kilns - 6,0,0,Malawi,1
1872,MITIGATION,Renewable Energy,Bioenergy,ETHANOL FUEL,0,0,0,Ethanol Cookstove - 7,0,0,Malawi,1
1873,MITIGATION,Renewable Energy,Bioenergy,BIOMASS BRIQUETTES OR PELLETS,0,0,0,biomass briquettes - 9,0,0,Malawi,1
1874,MITIGATION,Energy Efficiency,Appliances and equipment,LPG AND LNG FOR HOUSEHOLD AND COMMERCIAL COOKING,0,0,0,Liquefied Petroleum Gas (LPG) for cooking - 1,0,0,Malawi,1
1875,MITIGATION,Energy Efficiency,Appliances and equipment,IMPROVED COOK STOVES,0,0,0,Efficient firewood cookstoves - 10,0,0,Malawi,1
1876,MITIGATION,Energy Efficiency,Buildings,UNDEFINED,0,0,0,Promotion of energy efficiency and conservation measures in industries and Institutional buildings - 11,0,0,Malawi,1
1877,MITIGATION,Transport,Vehicle and fuel technologies,ADVANCED BIOFUELS *,0,0,0,Biofuel as vehicular fuel - 2,0,0,Malawi,1
1878,MITIGATION,Waste management,Solid waste,GASIFICATION OF WASTE,0,0,0,biogass - 8,0,0,Malawi,1
1879,ADAPTATION,Agriculture,Soil management,RESTORATION OF DEGRADED LANDS,0,0,0,"Landscape restoration for improved land
productivity - 1",0,0,Malawi,1
1880,ADAPTATION,Agriculture,Livestock management,UNDEFINED,0,0,0,Livestock production systems - 2,0,0,Malawi,1
1881,ADAPTATION,Agriculture,"Agro-forestry, Silviculture & Mixed farming",GENERAL AGRO-FORESTRY - SILVICULTURE AND MIXED FARMING SOLUTIONS,0,0,0,Integrated crop-livestock-aquaculture-forest (ICLAF) production systems - 3,0,0,Malawi,1
1882,ADAPTATION,Agriculture,Water efficiency and demand management,DRIP IRRIGATION,0,0,0,Solar powered drip irrigation - 4,0,0,Malawi,1
1883,ADAPTATION,Agriculture,Land management training,COMMUNITY-BASED AGRICULTURAL EXTENSION,0,0,0,Community-based agricultural extension - 5,0,0,Malawi,1
1884,ADAPTATION,Agriculture,Increasing crop resilience and productivity,CROP DIVERSIFICATION AND NEW VARIETIES,0,0,0,Crop diversification for increased resilience - 6,0,0,Malawi,1
1885,ADAPTATION,Agriculture,Communication and Awareness,EARLY WARNING AND FORECASTING SYSTEMS,0,0,0,Integrated early warning systems - 7,0,0,Malawi,1
1886,ADAPTATION,Agriculture,Increasing crop resilience and productivity,BIOTECHNOLOGY FOR CROP ADAPTATION,0,0,0,Biotechnology - 8,0,0,Malawi,1
